room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5171623,26746750,Entire home/apt,NORTHWEST,BOWNESS,0,,4,1,76,2,51.093281,-114.206301,58:34.8
12918070,70853821,Private room,SOUTH,HAYSBORO,3,4.5,3,1,36,1,50.972606,-114.081476,58:13.7
4910726,25287412,Entire home/apt,NORTHWEST,CHARLESWOOD,18,4.5,12,6,183,4,51.088908,-114.11495,58:00.8
1305271,7099331,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,15,5,2,1,34,2,51.042329,-113.9958,57:48.2
8951868,4242105,Private room,SOUTH,SHAWNESSY,0,,2,1,60,1,50.901808,-114.069722,57:39.5
7578644,39736541,Private room,NORTHEAST,SUNRIDGE,0,,1,1,28,1,51.075364,-113.981961,57:36.0
12166243,45031587,Entire home/apt,CENTRE,BELTLINE,3,5,2,1,79,2,51.040894,-114.060427,57:29.6
13395773,76206992,Private room,CENTRE,RENFREW,0,,4,1,64,1,51.061988,-114.038349,57:26.4
3497630,4869295,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,42,4.5,6,2,61,1,51.048963,-114.047319,57:05.9
6033235,31298510,Entire home/apt,CENTRE,BELTLINE,72,4.5,4,2,108,1,51.042139,-114.085226,56:57.0
8780617,42438891,Entire home/apt,CENTRE,MISSION,2,,4,1,64,2,51.032144,-114.067438,56:52.5
11178381,20854104,Entire home/apt,CENTRE,BELTLINE,31,5,2,1,71,1,51.042719,-114.056517,56:52.5
13495334,77373254,Private room,SOUTHEAST,MAHOGANY,0,,2,1,53,1,50.897783,-113.93895,56:48.5
14312942,84767631,Entire home/apt,CENTRE,CLIFF BUNGALOW,1,,4,1,68,1,51.034488,-114.072395,56:45.8
2465746,8175696,Private room,CENTRE,HIGHLAND PARK,2,,1,1,28,3,51.081705,-114.062909,56:43.2
